@relation trainingData

@attribute text string
@attribute sentiment_class {positive,negative}

@data
'USERNAME  USERNAME  ништа ... ако савршено биће не постоји ',positive
'USERNAME  чедарац ',positive
'USERNAME  USERNAME  скоро па савршено ',positive
'USERNAME  немо` ни ивицу ни марицу  ту сам, јављам се из главног града покрајине са две заставе ',positive
'USERNAME  ањњњњ поцрвенев  *',positive
'Само да не буде оно \"Држи ме да га не пребијем\"... ',positive
'USERNAME  друг на друге ',positive
'USERNAME  USERNAME  USERNAME  Их па није исто, говоримо о целој сезони и (СП) куп такмичењу ',positive
'USERNAME  Нас ни рекоа нема професор, ама нема везе помина.  USERNAME ',positive
'Велат немало ништо во недела во Битола... Бурјум сите во Porta Jazz да ви докажиме дека не сте во право! ',positive
'Она кога Јохан Тарчуловски е предавник, а заев Херој ',positive
'USERNAME  Сподели и некоја слика ',positive
'USERNAME  USERNAME  USERNAME  Леџендери ',positive
'USERNAME  ма исто је, играчки, ал\' овамо је веће задовољство у случају победе ',positive
'USERNAME  епа да преиначам тогаш: армија од правници + стручњаци за урбанизам + некој шо бил градски архитект ',positive
'Per gli amanti della lingua francese. - За љубитеље француског језика.  URL',positive
'USERNAME  USERNAME  ја хоћу Партизан на паркету, 5 на 5, остале \"прилоге\" не бих, ако ме разумете ',positive
'USERNAME  се пронајде а  ',positive
'USERNAME  или 1/3 во зависност кој е на митинг.  USERNAME  USERNAME  USERNAME ',positive
'Замислите кољу се Будућност и Партизан у Морачи, а декне Солнок Цедевиту и завуче им лепо. ',positive
'USERNAME  Тешко, он је ограничен играч, што не значи да није користан, али далеко од најбољег ',positive
'USERNAME  Удараш контру другима, а не себи. А другима леепоо ',positive
'USERNAME  судија педер, честитки! ',positive
'USERNAME  Битоланика ',positive
'Звезда води само у првом и последњем минуту утакмице и победи на крају. Е то је екипа.  #Radonjizam',positive
'USERNAME  Споји се са телом, па јуриш ',positive
'Добисмо и неизвесну завршницу  ',positive
'USERNAME   Лука је Циган ',positive
'\"Атмосфера као у паклу, као да се одлучује о нечему\", а фазон седморо људи виче \"Звезда, Звезда\"... ',positive
'USERNAME  Не мислите ваљда да ће Вам поверовати народ у то? Вама заказују учешће? Симпатично ',positive
'Колико лупета Тешановић, али то и није тако лоше, с обзиром на небитност меча... Мало да се забавимо ',positive
'USERNAME  USERNAME  Наши смо, то је битно ',positive
'USERNAME  да да . многу трема пред камера бе мајсторе...што така?',positive
'USERNAME  Колико видим - почело је \nSXSW Anti-Ai Protest to #stoptherobots \nURL',positive
'Божоо ',positive
'Селфи на врвот  USERNAME  Mileniumski krst, vrv na Vodno URL',positive
'USERNAME  Не констатирај - елаборирај! ',positive
'USERNAME  USERNAME  А јесу играли против јаких противника  Ма Џенкинс је без дилеме комплетнији играч.',positive
'Паде човјек мртав ',positive
'USERNAME  август ',positive
'USERNAME  Они сами себе отписују. ',positive
'USERNAME  Зошто бе вакви тешки зборови другарче... Ист си ко Протугер пу пу пу ',positive
'USERNAME  USERNAME \nКрстићев момак\nМсм\nКрле22\n',positive
'Оперирани од морал-етика....“сонциња“  URL',positive
'Не отписујте Ђетиће. ',positive
'USERNAME  USERNAME  USERNAME \nФВ ти је за 100 година сатирања Срба\nТо је тачно\n',positive
'Не јебе Хеслип Лукајића ни 2\% ',positive
'USERNAME  Мислим да је ово онај ћелави са СК-а ',positive
'Родила Алина... URL',positive
'ПРИВАТНИ СНИМАК ЈЕЛЕНЕ КАРЛЕУШЕ. ПУНИ КУРВУ! [ВК]: URL via USERNAME \n\nevo koga vi slušate ',positive
'USERNAME  фан на Јунајтед ',positive
'USERNAME  бундашкии ',positive
'Полине Сандр ',positive
'USERNAME  Повелеле  URL',positive
'USERNAME  ајде барај ме ',positive
'Само во ПРОСТА ДРЖАВА може да дилетанти бидат така политички вешти ',positive
'Лудачки потез Јаке Блажича ',positive
'Боби као на тренингу ',positive
'USERNAME  штета, тој изгубил ',positive
